Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Total des sessions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2022-10-08 15:48:00,false,"Dompierre-sur-Yon Course à pied","13.78","906","01:14:32","145","161","--","162","168","5:24","4:10","114","111","1.14","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","04:29.78.5","14","27.0","--","--","--","01:14:28","01:14:32","68","105"
Cyclisme,2022-10-08 12:16:23,false,"Dompierre-sur-Yon Cyclisme","2.36","48","00:07:29.4","103","117","--","0","0","18.9","41.8","33","33","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","01:16.87","3","26.0","--","--","--","00:07:22.0","00:11:17","61","85"
En piscine,2022-10-08 10:11:15,false,"En piscine","2,600","577","01:06:56","0","0","--","0","0","2:03","1:48","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1373","88","26","0","--","0:00","25.0","0:00","Non","00:00.42.5","28","26.0","--","--","--","00:53:11","01:07:59","--","--"
Cyclisme,2022-10-07 12:40:29,false,"La Roche-sur-Yon Cyclisme","8.22","251","00:21:03","138","157","--","0","0","23.4","41.0","110","104","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:43.86.1","9","27.0","--","--","--","00:20:56","00:21:12","52","84"
Course à pied,2022-10-07 12:24:20,false,"La Roche-sur-Yon Course à pied","1.39","119","00:10:05","139","166","--","147","160","7:15","6:08","12","16","0.94","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","02:40.61","2","28.0","--","--","--","00:09:42","00:10:05","9","73"
Course à pied,2022-10-07 12:00:38,false,"La Roche-sur-Yon Course à pied","4.93","360","00:23:18","169","188","--","146","176","4:44","3:33","52","95","1.44","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","03:51.24","5","27.0","--","--","--","00:22:14","00:23:18","17","96"
Course à pied,2022-10-07 11:53:26,false,"La Roche-sur-Yon Course à pied","0.72","91","00:06:21.6","151","164","--","150","203","8:52","2:38","5","3","0.75","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","06:21.55.3","1","24.0","--","--","--","00:06:21","00:06:21.6","70","75"
Course à pied,2022-10-07 11:36:11,false,"La Roche-sur-Yon Course à pied","2.84","201","00:14:29","149","168","--","162","168","5:06","4:13","19","16","1.21","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","04:06.39.5","3","23.0","--","--","--","00:14:28","00:14:29","70","76"
Cyclisme,2022-10-07 11:10:15,false,"Dompierre-sur-Yon Cyclisme","8.33","236","00:19:27","140","159","--","0","0","25.7","42.1","87","100","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","01:19.77.4","9","27.0","--","--","--","00:19:20","00:19:33","60","84"
Cyclisme,2022-10-06 12:40:56,false,"La Roche-sur-Yon Cyclisme","10.29","377","00:26:33","154","171","--","0","0","23.3","39.9","95","70","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:52.11.1","11","26.0","--","--","--","00:26:25","00:27:13","56","86"
En piscine,2022-10-06 11:27:08,false,"En piscine","2,200","407","01:02:27","0","0","--","0","0","2:50","1:45","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","927","87","25","0","--","0:00","26.0","0:00","Non","00:00.64.7","32","26.0","--","--","--","00:36:53","01:02:47","--","--"
Cyclisme,2022-10-06 10:40:18,false,"Dompierre-sur-Yon Cyclisme","15.95","464","00:36:25","146","178","--","0","0","26.3","44.7","283","324","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","01:48.39.6","16","28.0","--","--","--","00:36:13","00:37:00","9","85"
Course à pied,2022-10-05 09:50:48,false,"Dompierre-sur-Yon Course à pied","13.85","1,025","01:15:43","154","178","--","163","178","5:28","4:07","174","228","1.12","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","04:46.45.9","14","26.0","--","--","--","01:15:37","01:15:43","-3","85"
Cyclisme,2022-10-04 15:09:14,false,"Dompierre-sur-Yon Cyclisme","24.99","734","00:52:33","155","178","--","0","0","28.5","45.1","99","100","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","01:47.33.9","25","29.0","--","--","--","00:52:20","00:52:46","58","89"
Course à pied,2022-10-04 09:39:12,false,"Dompierre-sur-Yon Course à pied","10.51","752","01:01:47","144","158","--","160","173","5:53","4:33","44","44","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","03:13.26.8","11","27.0","--","--","--","01:01:44","01:01:47","69","86"
Course à pied,2022-10-03 12:03:21,false,"Dompierre-sur-Yon Course à pied","1.77","177","00:12:09","161","190","--","154","159","6:53","3:55","19","13","0.94","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","05:18.72.1","2","24.0","--","--","--","00:12:04","00:12:09","31","49"
Course à pied,2022-10-03 11:51:41,false,"Dompierre-sur-Yon Course à pied","2.32","190","00:11:11","177","196","--","161","189","4:49","3:15","29","45","1.28","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","01:09.77.5","3","23.0","--","--","--","00:11:11","00:11:11","56","75"
Course à pied,2022-10-03 11:38:14,false,"Dompierre-sur-Yon Course à pied","2.32","182","00:10:50","175","195","--","164","186","4:40","3:15","63","60","1.31","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","01:13.18.8","3","21.0","--","--","--","00:10:44","00:10:50","22","38"
Course à pied,2022-10-03 11:08:35,false,"Dompierre-sur-Yon Course à pied","4.45","350","00:27:27","142","174","--","153","213","6:10","2:35","48","98","1.05","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","03:25.21.2","5","27.0","--","--","--","00:26:52","00:28:32","26","85"
Course à pied,2022-10-01 17:41:21,false,"Dompierre-sur-Yon Course à pied","13.40","964","01:15:19","148","179","--","161","173","5:37","4:00","31","33","1.10","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","02:15.15.1","14","28.0","--","--","--","01:15:17","01:15:19","69","86"
Cyclisme,2022-09-30 12:09:10,false,"La Roche-sur-Yon Cyclisme","8.25","282","00:21:45","143","165","--","0","0","22.8","42.0","126","108","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:59.16.6","9","25.0","--","--","--","00:21:33","00:23:17","63","105"
Course à pied,2022-09-30 11:52:16,false,"La Roche-sur-Yon Course à pied","1.24","122","00:09:14.5","154","185","--","153","160","7:26","5:46","5","7","0.88","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","01:45.56.5","2","26.0","--","--","--","00:09:13","00:09:31.4","66","72"
Course à pied,2022-09-30 11:35:06,false,"La Roche-sur-Yon Course à pied","3.62","269","00:16:28","170","188","--","166","192","4:33","2:51","26","69","1.32","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","02:51.67.1","4","22.0","--","--","--","00:16:27","00:16:28","24","78"
Course à pied,2022-09-30 11:28:11,false,"La Roche-sur-Yon Course à pied","1.00","72","00:04:45.7","160","177","--","166","186","4:47","3:07","1","7","1.26","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","04:45.68.8","1","21.0","--","--","--","00:04:45.7","00:04:45.7","60","67"
Course à pied,2022-09-30 11:06:51,false,"La Roche-sur-Yon Course à pied","3.69","284","00:19:03","154","174","--","164","173","5:10","3:52","18","22","1.18","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","03:22.55.4","4","23.0","--","--","--","00:19:02","00:19:03","68","75"
Cyclisme,2022-09-30 10:46:27,false,"La Roche-sur-Yon Cyclisme","3.11","85","00:08:38.3","122","140","--","0","0","21.6","39.0","43","45","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:31.88.1","4","26.0","--","--","--","00:08:30.0","00:19:59","58","92"
Cyclisme,2022-09-29 18:36:40,false,"Dompierre-sur-Yon Cyclisme","11.67","325","00:29:34","131","156","--","0","0","23.7","43.5","140","175","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","01:45.81.6","12","26.0","--","--","--","00:29:27","00:29:34","31","84"
Course à pied,2022-09-29 15:40:47,false,"Dompierre-sur-Yon Course à pied","8.90","681","00:51:38","149","165","--","160","170","5:48","4:24","55","75","1.08","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","05:21.05.8","9","27.0","--","--","--","00:51:35","00:51:38","47","90"
Cyclisme,2022-09-29 10:57:06,false,"La Roche-sur-Yon Cyclisme","11.59","320","00:28:38","132","159","--","0","0","24.3","44.9","177","187","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","01:53.21.1","12","25.0","--","--","--","00:28:34","00:29:05","47","93"
Cyclisme,2022-09-28 17:04:34,false,"La Roche-sur-Yon Cyclisme","3.60","84","00:10:08","113","131","--","0","0","21.3","40.9","113","34","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","02:06.12","4","25.0","--","--","--","00:10:02","00:10:34","336","417"
En piscine,2022-09-28 15:35:53,false,"En piscine","2,700","628","01:15:37","0","0","--","0","0","2:04","0:58","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1369","88","24","0","--","0:00","25.0","0:00","Non","00:21.70.9","40","26.0","--","--","--","00:55:56","01:15:50","--","--"
Cyclisme,2022-09-28 14:45:18,false,"Dompierre-sur-Yon Cyclisme","15.31","364","00:36:09","128","155","--","0","0","25.4","44.9","218","249","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:47.42.5","16","28.0","--","--","--","00:35:49","00:36:55","37","87"
Cyclisme,2022-09-27 12:35:58,false,"La Roche-sur-Yon Cyclisme","8.08","230","00:19:53","133","162","--","0","0","24.4","41.3","64","53","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:15.44.9","9","23.0","--","--","--","00:19:38","00:21:15","57","86"
Course à pied,2022-09-27 12:21:13,false,"La Roche-sur-Yon Course à pied","1.26","117","00:08:15.8","157","172","--","158","163","6:35","5:01","10","10","0.96","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","01:39.90.8","2","24.0","--","--","--","00:08:15.8","00:08:15.8","70","76"
Course à pied,2022-09-27 12:15:07,false,"La Roche-sur-Yon Course à pied","1.02","64","00:04:01.7","164","193","--","169","175","3:57","3:48","9","6","1.50","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:03.96.9","2","21.0","--","--","--","00:04:01.7","00:04:01.7","68","76"
Course à pied,2022-09-27 12:09:06,false,"La Roche-sur-Yon Course à pied","1.02","66","00:03:53.1","178","185","--","170","175","3:48","3:38","14","9","1.55","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:04.24.3","2","22.0","--","--","--","00:03:51","00:03:53.1","69","76"
Course à pied,2022-09-27 12:03:04,false,"La Roche-sur-Yon Course à pied","1.02","65","00:03:58.7","171","175","--","168","174","3:54","3:39","11","6","1.53","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:03.87.2","2","20.0","--","--","--","00:03:54.9","00:03:58.7","69","78"
Course à pied,2022-09-27 11:56:56,false,"La Roche-sur-Yon Course à pied","1.03","60","00:03:56.5","158","188","--","168","175","3:51","3:43","6","9","1.55","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:05.02.6","2","19.0","--","--","--","00:03:55","00:03:56.5","65","73"
Course à pied,2022-09-27 11:50:53,false,"La Roche-sur-Yon Course à pied","1.01","64","00:04:03.1","163","187","--","166","173","4:01","3:47","8","8","1.49","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:00.54.4","2","20.0","--","--","--","00:04:03.1","00:04:03.1","68","72"
Course à pied,2022-09-27 11:27:39,false,"La Roche-sur-Yon Course à pied","3.62","289","00:20:25","149","172","--","151","204","5:38","3:44","20","24","1.16","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","04:41.66.9","4","24.0","--","--","--","00:19:51","00:21:45","66","74"
Course à pied,2022-09-26 14:29:44,false,"Dompierre-sur-Yon Course à pied","9.98","680","00:52:51","149","177","--","164","173","5:18","4:00","161","162","1.15","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","04:33.19.1","10","29.0","--","--","--","00:52:49","00:52:51","61","94"
Course à pied,2022-09-23 14:15:32,false,"Dompierre-sur-Yon Course à pied","18.32","1,265","01:43:18","148","172","--","161","178","5:38","3:44","136","154","1.10","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","01:52.49.6","19","27.0","--","--","--","01:43:15","01:43:18","30","86"
Cyclisme,2022-09-23 09:50:18,false,"La Roche-sur-Yon Cyclisme","11.63","339","00:28:03","141","175","--","0","0","24.9","47.1","238","241","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","01:50.04.4","12","27.0","--","--","--","00:27:51","00:28:03","-14","95"
Cyclisme,2022-09-22 16:36:59,false,"Dompierre-sur-Yon Cyclisme","11.98","344","00:29:27","136","162","--","0","0","24.4","46.4","371","376","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","01:57.39.1","12","29.0","--","--","--","00:29:14","00:29:40","20","134"
Course à pied,2022-09-22 14:51:35,false,"Dompierre-sur-Yon Course à pied","10.14","709","00:53:33","150","178","--","162","170","5:17","4:13","67","80","1.17","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:45.60.1","11","28.0","--","--","--","00:53:29","00:53:33","53","88"
Cyclisme,2022-09-22 10:00:15,false,"La Roche-sur-Yon Cyclisme","11.65","333","00:29:56","134","163","--","0","0","23.3","47.4","346","353","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","01:53.09.3","12","27.0","--","--","--","00:29:37","00:30:05","12","102"
Cyclisme,2022-09-21 16:12:36,false,"La Roche-sur-Yon Cyclisme","3.62","98","00:10:09","124","158","--","0","0","21.4","41.8","95","73","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","02:13.26.3","4","25.0","--","--","--","00:10:08","00:11:24","53","97"
En piscine,2022-09-21 15:06:32,false,"En piscine","2,000","453","00:54:25","0","0","--","0","0","1:57","0:27","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","960","83","25","0","--","0:00","25.0","0:00","Non","00:11.23.2","32","27.0","--","--","--","00:39:01","00:54:30","--","--"
Cyclisme,2022-09-21 14:19:11,false,"Dompierre-sur-Yon Cyclisme","15.67","467","00:35:08","149","176","--","0","0","26.8","47.7","1,308","1,252","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","01:39.02.3","16","28.0","--","--","--","00:34:57","00:35:39","-85","107"
Course à pied,2022-09-20 10:55:50,false,"Dompierre-sur-Yon Course à pied","2.84","249","00:17:48","152","172","--","158","166","6:16","5:00","24","23","1.01","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","05:28.37.3","3","25.0","--","--","--","00:17:47","00:17:48","60","82"
Course à pied,2022-09-20 10:50:29,false,"Dompierre-sur-Yon Course à pied","1.12","70","00:04:28.9","166","183","--","171","178","3:59","3:36","6","5","1.46","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:24.65.2","2","20.0","--","--","--","00:04:28.9","00:04:28.9","74","81"
Course à pied,2022-09-20 10:43:42,false,"Dompierre-sur-Yon Course à pied","1.09","67","00:04:33.4","156","190","--","167","175","4:12","3:39","6","2","1.42","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:18.90.6","2","20.0","--","--","--","00:04:29.9","00:04:33.4","75","82"
Course à pied,2022-09-20 10:37:08,false,"Dompierre-sur-Yon Course à pied","1.12","63","00:04:31.0","149","155","--","168","176","4:02","3:37","5","3","1.48","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:26.96.2","2","19.0","--","--","--","00:04:29.0","00:04:31.0","75","80"
Course à pied,2022-09-20 10:30:22,false,"Dompierre-sur-Yon Course à pied","1.13","68","00:04:32.4","157","164","--","168","176","4:02","3:46","6","4","1.48","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:28.44.5","2","19.0","--","--","--","00:04:30.9","00:04:32.4","75","82"
Course à pied,2022-09-20 10:03:34,false,"Dompierre-sur-Yon Course à pied","4.46","319","00:25:01","141","164","--","157","171","5:36","4:15","30","38","1.13","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","03:54.53.9","5","26.0","--","--","--","00:24:53","00:26:05","71","88"
Course à pied,2022-09-19 15:17:11,false,"Dompierre-sur-Yon Course à pied","11.31","796","00:59:21","153","178","--","162","170","5:15","4:09","802","752","1.18","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","01:43.20.8","12","27.0","--","--","--","00:59:19","00:59:21","-23","199"
Cyclisme,2022-09-19 09:26:54,false,"La Roche-sur-Yon Cyclisme","11.65","328","00:29:01","136","159","--","0","0","24.1","43.0","398","405","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","01:56.25.7","12","28.0","--","--","--","00:28:49","00:29:32","-47","94"
Cyclisme,2022-09-18 19:06:22,false,"La Roche-sur-Yon Cyclisme","3.95","42","00:08:01.3","96","108","--","0","0","29.5","50.1","42","48","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","01:44.05.7","4","27.0","--","--","--","00:08:00.3","00:08:01.3","50","77"
Cyclisme,2022-09-18 17:38:34,false,"Dompierre-sur-Yon Cyclisme","25.46","636","01:03:26","135","164","--","0","0","24.1","42.6","326","353","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","01:16.66.7","26","26.0","--","--","--","01:03:17","01:12:04","37","180"
Cyclisme,2022-09-17 16:47:45,false,"Dompierre-sur-Yon Cyclisme","2.74","98","00:08:05.4","136","158","--","0","0","20.3","33.7","70","54","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","02:13.52.7","3","29.0","--","--","--","00:08:04.3","00:08:05.4","58","84"
Cyclisme,2022-09-17 16:05:01,false,"Dompierre-sur-Yon Cyclisme","2.09","50","00:05:43.7","116","127","--","0","0","21.9","34.9","27","33","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:25.03.8","3","26.0","--","--","--","00:05:39","00:05:51.9","67","92"
En piscine,2022-09-17 10:18:45,false,"En piscine","1,550","370","00:47:42","0","0","--","0","0","1:54","0:48","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","716","80","24","0","--","0:00","25.0","0:00","Non","00:10.31.5","48","26.0","--","--","--","00:29:26","00:47:46","--","--"
Course à pied,2022-09-16 15:23:23,false,"La Roche-sur-Yon Course à pied","8.64","710","00:50:25","156","173","--","158","173","5:50","4:54","116","92","1.08","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","03:50.77.9","9","25.0","--","--","--","00:50:21","00:50:25","40","73"
Course à pied,2022-09-16 14:35:22,false,"Dompierre-sur-Yon Course à pied","8.64","590","00:47:19","143","158","--","158","176","5:29","3:57","76","116","1.15","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","03:34.58.7","9","27.0","--","--","--","00:47:16","00:47:19","39","86"
Cyclisme,2022-09-15 15:23:54,false,"Dompierre-sur-Yon Cyclisme","29.25","856","01:01:57","154","182","--","0","0","28.3","46.7","1,578","1,598","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Non","00:33.82.8","30","31.0","--","--","--","01:01:31","01:02:02","-68","124"
Course à pied,2022-09-15 10:23:45,false,"Dompierre-sur-Yon Course à pied","8.89","669","00:47:41","158","193","--","157","176","5:22","3:53","70","65","1.18","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","04:20.32.9","9","28.0","--","--","--","00:47:39","00:47:41","67","94"
Course à pied,2022-09-13 16:58:24,false,"Lanester Course à pied","10.15","781","00:55:08","155","178","--","157","166","5:26","4:21","75","100","1.17","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","Non","00:51.18.2","11","30.0","--","--","--","00:55:05","00:55:08","-10","21"
Course à pied,2022-09-12 17:07:29,false,"Lanester Course à pied","8.00","586","00:44:09","148","169","--","156","166","5:31","4:49","172","190","1.16","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","05:19.18.3","8","29.0","--","--","--","00:44:07","00:44:09","2","72"
Cyclisme,2022-09-11 13:09:24,false,"Dompierre-sur-Yon Cyclisme","5.71","154","00:24:30","106","126","--","0","0","14.0","18.3","77","72","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","Non","02:56.48.3","6","30.0","--","--","--","00:24:07","00:24:33","71","106"
Course à pied,2022-09-10 16:00:58,false,"Dompierre-sur-Yon Course à pied","7.82","589","00:43:50","155","195","--","157","175","5:36","3:20","170","191","1.13","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","03:47.67.7","8","28.0","--","--","--","00:43:47","00:43:50","3","85"
Cyclisme,2022-09-03 16:50:52,false,"Dompierre-sur-Yon Cyclisme","61.00","1,580","02:23:09","152","176","--","0","0","25.6","56.0","324","324","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:01.68.2","62","29.0","--","--","--","02:18:24","02:23:28","31","95"
Course à pied,2022-09-02 16:07:47,false,"Lanester Course à pied","7.96","537","00:43:08","146","163","--","161","168","5:25","4:51","751","572","1.15","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","05:14.30.2","8","29.0","--","--","--","00:43:05","00:43:08","-9","60"
Course à pied,2022-08-31 09:18:26,false,"Lanester Course à pied","4.09","328","00:23:39","160","190","--","156","196","5:47","2:12","623","847","1.11","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:36.28.6","5","25.0","--","--","--","00:23:18","00:23:39","-500","14"
Course à pied,2022-08-31 08:48:04,false,"Lanester Course à pied","2.71","318","00:24:52","146","180","--","88","216","9:12","2:08","117","116","1.23","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","04:37.66.4","3","25.0","--","--","--","00:16:00","00:25:37","-69","38"
Course à pied,2022-08-31 08:13:20,false,"Lanester Course à pied","5.11","399","00:29:30","153","181","--","156","173","5:47","4:01","193","195","1.11","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:36.72.1","6","28.0","--","--","--","00:29:09","00:31:12","-43","52"
Course à pied,2022-08-30 19:40:16,false,"Lanester Course à pied","3.83","293","00:22:59","144","159","--","156","164","6:00","5:09","26","68","1.07","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Non","05:01.12.1","4","30.0","--","--","--","00:22:58","00:22:59","-24","23"
Course à pied,2022-08-29 08:12:34,false,"Lanester Course à pied","12.22","981","01:11:22","156","179","--","157","178","5:51","4:31","101","110","1.09","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","01:12.11.3","13","28.0","--","--","--","01:11:14","01:12:29","34","63"
Cyclisme,2022-08-27 17:33:20,false,"Dompierre-sur-Yon Cyclisme","55.18","1,257","02:16:40","137","185","--","0","0","24.2","49.5","2,758","2,796","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","00:26.16.5","56","31.0","--","--","--","02:16:08","02:41:54","-49","116"
