Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Total des sessions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
En piscine,2023-01-14 10:14:47,false,"En piscine","1,700","389","00:50:23","137","166","2.9","0","0","1:54","1:27","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","839","82","26","0","--","0:00","0.0","0:00","Non","00:10.61.4","34","0.0","--","--","--","00:32:25","00:53:18","--","--"
Course à pied,2023-01-13 09:03:55,false,"Dompierre-sur-Yon - AS 10 : 2x1,5km + 2x1km @4'00/km","12.32","949","01:11:51","153","197","4.0","159","195","5:50","3:11","69","73","1.06","9.9","10.3","268","49.2% G / 50.8% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","01:59.25.2","17","24.0","31","14","45","01:10:46","01:11:51","63","84"
Course à pied,2023-01-12 15:47:50,false,"Dompierre-sur-Yon Course à pied","4.29","332","00:24:06","149","169","2.5","165","184","5:37","4:48","57","56","1.08","10.1","11.0","267","49.8% G / 50.2% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","01:41.46.8","5","26.0","27","17","37","00:24:03","00:24:06","60","86"
En piscine,2023-01-12 11:42:33,false,"En piscine","1,500","355","00:50:41","129","168","2.6","0","0","1:54","1:30","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","726","81","26","0","--","0:00","0.0","0:00","Non","00:26.96.2","42","0.0","--","--","--","00:28:25","00:52:45","--","--"
Cyclisme,2023-01-11 11:48:23,false,"Dompierre-sur-Yon Cyclisme","26.93","743","01:02:40","140","160","2.8","0","0","25.8","46.3","188","188","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","01:31.32.8","27","24.0","32","22","40","01:02:33","01:02:40","59","89"
Course à pied,2023-01-10 10:48:54,false,"VMA : 2x(6x200m) @105% r : 40'' R : 3’00","10.35","835","01:04:05","150","199","3.8","156","198","6:12","2:32","94","91","1.02","10.1","9.9","277","49.6% G / 50.4% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:36.72.4","33","24.0","30","13","48","01:03:33","01:04:05","60","89"
Musculation,2023-01-09 18:03:00,false,"Musculation","0.00","173","00:28:23","99","132","0.5","0","0","--","--","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","151","11","0:00","25.0","0:00","Non","28:23.03.7","1","26.0","--","--","--","00:12:01","00:28:23","--","--"
Course à pied,2023-01-09 10:22:16,false,"40’ EF","7.08","524","00:40:19","137","154","2.7","165","188","5:42","4:54","48","52","1.06","10.2","11.0","262","49.4% G / 50.6% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","00:27.93","8","25.0","27","19","36","00:40:17","00:40:19","61","84"
Marche à pied,2023-01-08 10:40:48,false,"Tours Marche à pied","2.79","197","00:39:40","94","111","0.4","94","152","14:14","9:12","11","7","0.75","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","12:32.40.6","3","28.0","--","--","--","00:35:03","00:39:40","47","56"
Course à pied,2023-01-06 10:43:32,false,"AS 10 : 4x1km @ 4'00/km r : 2'00","11.43","901","01:06:54","150","194","3.9","158","192","5:51","2:57","85","84","1.06","9.9","10.1","277","49.2% G / 50.8% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","02:00.00","15","26.0","31","14","44","01:06:23","01:06:54","66","85"
