Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Longueur moyenne des foulées,Temps de contact moyen avec le sol
Course à pied,2022-09-27 11:50:53,1.01,64,4.05,163,187,166,173,4.016666666666667,3.783333333333333,1.49,0
Course à pied,2022-09-27 11:27:39,3.62,289,20.416666666666668,149,172,151,204,5.633333333333333,3.7333333333333334,1.16,0
Course à pied,2022-09-26 14:29:44,9.98,680,52.85,149,177,164,173,5.3,4.0,1.15,0
Course à pied,2022-09-23 14:15:32,18.32,1265,103.3,148,172,161,178,5.633333333333333,3.7333333333333334,1.1,0
Course à pied,2022-09-22 14:51:35,10.14,709,53.55,150,178,162,170,5.283333333333333,4.216666666666667,1.17,0
Course à pied,2022-09-20 10:55:50,2.84,249,17.8,152,172,158,166,6.266666666666667,5.0,1.01,0
Course à pied,2022-09-20 10:50:29,1.12,70,4.483333333333333,166,183,171,178,3.9833333333333334,3.6,1.46,0
Course à pied,2022-09-20 10:43:42,1.09,67,4.55,156,190,167,175,4.2,3.65,1.42,0
Course à pied,2022-09-20 10:37:08,1.12,63,4.516666666666667,149,155,168,176,4.033333333333333,3.6166666666666667,1.48,0
Course à pied,2022-09-20 10:30:22,1.13,68,4.533333333333333,157,164,168,176,4.033333333333333,3.7666666666666666,1.48,0
Course à pied,2022-09-20 10:03:34,4.46,319,25.016666666666666,141,164,157,171,5.6,4.25,1.13,0
Course à pied,2022-09-19 15:17:11,11.31,796,59.35,153,178,162,170,5.25,4.15,1.18,0
Course à pied,2022-09-16 15:23:23,8.64,710,50.416666666666664,156,173,158,173,5.833333333333333,4.9,1.08,0
Course à pied,2022-09-16 14:35:22,8.64,590,47.31666666666667,143,158,158,176,5.483333333333333,3.95,1.15,0
Course à pied,2022-09-15 10:23:45,8.89,669,47.68333333333333,158,193,157,176,5.366666666666666,3.8833333333333333,1.18,0
Course à pied,2022-09-13 16:58:24,10.15,781,55.13333333333333,155,178,157,166,5.433333333333334,4.35,1.17,0
Course à pied,2022-09-12 17:07:29,8.0,586,44.15,148,169,156,166,5.516666666666667,4.816666666666666,1.16,0
Course à pied,2022-09-10 16:00:58,7.82,589,43.833333333333336,155,195,157,175,5.6,3.3333333333333335,1.13,0
Course à pied,2022-09-02 16:07:47,7.96,537,43.13333333333333,146,163,161,168,5.416666666666667,4.85,1.15,0
Course à pied,2022-08-31 09:18:26,4.09,328,23.65,160,190,156,196,5.783333333333333,2.2,1.11,0
Course à pied,2022-08-31 08:48:04,2.71,318,24.866666666666667,146,180,88,216,9.2,2.1333333333333333,1.23,0
Course à pied,2022-08-31 08:13:20,5.11,399,29.5,153,181,156,173,5.783333333333333,4.016666666666667,1.11,0
